base_name_id	well_name	date	nature	condition	liquid_extraction	oil_production	water_intake
Тестовое	Д1	01.01.2023	Добывающая	В работе	101	57,57	
Тестовое	Д1	01.02.2023	Добывающая	В работе	104	101,92	
Тестовое	Д1	01.03.2023	Добывающая	В работе	81	35,64	
Тестовое	Д1	01.04.2023	Добывающая	В работе	107	25,68	
Тестовое	Д1	01.05.2023	Добывающая	В работе	112	12,32	
Тестовое	Д2	01.01.2023	Добывающая	В работе	70	0,7	
Тестовое	Д2	01.02.2023	Добывающая	В работе	79	9,48	
Тестовое	Д2	01.03.2023	Добывающая	В работе	75	33	
Тестовое	Д2	01.04.2023	Добывающая	В работе	80	35,2	
Тестовое	Д2	01.05.2023	Добывающая	В работе	64	8,32	
Тестовое	Д3	01.01.2023	Добывающая	В работе	99	99	
Тестовое	Д3	01.02.2023	Добывающая	В работе	133	34,58	
Тестовое	Д3	01.03.2023	Добывающая	В работе	79	24,49	
Тестовое	Д3	01.04.2023	Добывающая	В работе	83	70,55	
Тестовое	Д3	01.05.2023	Добывающая	В работе	112	42,56	
Тестовое	Д4	01.01.2023	Добывающая	В работе	59	17,7	
Тестовое	Д4	01.02.2023	Добывающая	В работе	39	28,08	
Тестовое	Д4	01.03.2023	Добывающая	В работе	42	22,26	
Тестовое	Д4	01.04.2023	Добывающая	В работе	30	11,4	
Тестовое	Д4	01.05.2023	Добывающая	В работе	33	23,1	
Тестовое	Д5	01.01.2023	Добывающая	В работе	61	9,76	
Тестовое	Д5	01.02.2023	Добывающая	В работе	69	55,89	
Тестовое	Д5	01.03.2023	Добывающая	В работе	61	46,97	
Тестовое	Д5	01.04.2023	Добывающая	В работе	65	44,2	
Тестовое	Д5	01.05.2023	Добывающая	В работе	62	5,58	
Тестовое	Д6	01.01.2023	Добывающая	В работе	118	57,82	
Тестовое	Д6	01.02.2023	Добывающая	В работе	98	85,26	
Тестовое	Д6	01.03.2023	Добывающая	В работе	111	105,45	
Тестовое	Д6	01.04.2023	Добывающая	В работе	117	40,95	
Тестовое	Д6	01.05.2023	Добывающая	В работе	110	64,9	
Тестовое	Н1	01.01.2023	Нагнетательная	В работе			195
Тестовое	Н1	01.02.2023	Нагнетательная	В работе			175
Тестовое	Н1	01.03.2023	Нагнетательная	В работе			107
Тестовое	Н1	01.04.2023	Нагнетательная	В работе			105
Тестовое	Н1	01.05.2023	Нагнетательная	В работе			184
Тестовое	Н2	01.01.2023	Нагнетательная	В работе			200
Тестовое	Н2	01.02.2023	Нагнетательная	В работе			90
Тестовое	Н2	01.03.2023	Нагнетательная	В работе			113
Тестовое	Н2	01.04.2023	Нагнетательная	В работе			93
Тестовое	Н2	01.05.2023	Нагнетательная	В работе			168
Тестовое	Н3	01.01.2023	Нагнетательная	В работе			184
Тестовое	Н3	01.02.2023	Нагнетательная	В работе			74
Тестовое	Н3	01.03.2023	Нагнетательная	В работе			194
Тестовое	Н3	01.04.2023	Нагнетательная	В работе			113
Тестовое	Н3	01.05.2023	Нагнетательная	В работе			67
